# HJD    Flux    Flux_err
7082.54083333    0.99295    0.00788
7082.54114583    0.99997    0.00770
7082.54177083    1.00277    0.00788
7082.54208333    1.00369    0.00780
7082.54239583    0.99709    0.00780
7082.54270833    1.00286    0.01191
7082.54302083    0.99313    0.00774
7082.54364583    0.99824    0.00769
7082.54395833    0.99948    0.00770
7082.54427083    1.00287    0.00773
7082.54459491    1.00255    0.00765
7082.54490741    1.00514    0.00770
7082.54521991    1.00163    0.01103
7082.54553241    1.00246    0.00801
7082.54584491    1.00426    0.00820
7082.54615741    1.01032    0.00765
7082.54646991    0.99346    0.00775
7082.54709491    0.99293    0.00774
7082.54740741    1.00281    0.00818
7082.54771991    1.00012    0.00779
7082.54803241    1.00138    0.00774
7082.54865741    0.99387    0.00772
7082.54929398    0.99677    0.00777
7082.54960648    0.99359    0.00812
7082.54991898    1.00178    0.00788
7082.55023148    0.99617    0.00795
7082.55054398    0.99999    0.00800
7082.55085648    0.99128    0.00786
7082.55116898    0.99848    0.00777
7082.55273148    1.01232    0.01069
7082.55304398    0.99997    0.00794
7082.55366898    0.99453    0.00801
7082.55461806    1.00503    0.00776
7082.55493056    0.99410    0.00827
7082.55524306    0.99878    0.00761
7082.55555556    0.99032    0.00820
7082.55586806    1.00259    0.00802
7082.55618056    0.99668    0.00777
7082.55649306    0.99419    0.00778
7082.55711806    1.00286    0.00852
7082.55743056    1.00242    0.01145
7082.55774306    1.00598    0.00759
7082.55805556    0.98944    0.00779
7082.55837963    0.99989    0.00857
7082.55869213    0.99868    0.00862
7082.55900463    1.02126    0.01589
7082.55962963    0.99792    0.00777
7082.55994213    1.00408    0.00941
7082.56025463    0.99330    0.00852
7082.56056713    0.99694    0.00796
7082.56087963    1.00316    0.00808
7082.56119213    0.99441    0.00788
7082.56150463    1.00172    0.01187
7082.56181713    0.98983    0.00778
7082.56214120    0.99541    0.00786
7082.56245370    1.00195    0.00758
7082.56276620    1.00018    0.00760
7082.56307870    1.00261    0.00796
7082.56339120    0.99770    0.00800
7082.56370370    0.98994    0.00783
7082.56401620    0.99891    0.00760
7082.56432870    1.00779    0.00760
7082.56464120    1.01093    0.00772
7082.56526620    0.99828    0.00764
7082.56557870    0.99908    0.00767
7082.56715278    1.00530    0.00754
7082.56746528    1.00467    0.00757
7082.56777778    1.00839    0.01061
7082.56840278    1.00160    0.00757
7082.56871528    1.00062    0.01631
7082.56902778    1.00555    0.00751
7082.56934028    0.99360    0.00771
7082.57027778    0.99561    0.00908
7082.57059028    0.99151    0.00811
7082.57090278    1.00153    0.00846
7082.57121528    1.00001    0.00812
7082.57152778    0.99450    0.00880
7082.57216435    1.00466    0.00771
7082.57247685    1.01674    0.01521
7082.57278935    0.98959    0.00775
7082.57372685    0.99690    0.00874
7082.57403935    1.00266    0.00756
7082.57435185    1.00008    0.00758
7082.57497685    0.99806    0.00763
7082.57561343    0.99908    0.00839
7082.57592593    1.00176    0.00852
